                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.86471,                0.56852,                 1.0005,                0.91417,                0.73457,                0.83842,                0.51092,                 1.3629,                0.75609,                 1.1106,              0.0012377,              0.0012377,              0.0012377
                     80,                0.85198,                 0.5598,                0.98678,                 0.8928,                0.69742,                0.80781,                0.48485,                 1.3819,                 0.8493,                 1.1493,              0.0012278,              0.0012278,              0.0012278
                     81,                0.82587,                0.55356,                0.98256,                0.93014,                0.71921,                0.85642,                0.52526,                 1.2979,                0.74461,                 1.0814,              0.0012179,              0.0012179,              0.0012179
                     82,                0.86063,                0.57552,                 1.0074,                0.84418,                0.73399,                0.81196,                 0.4987,                 1.3738,                0.79261,                 1.1193,               0.001208,               0.001208,               0.001208
                     83,                0.83013,                0.56629,                0.97695,                0.86149,                0.73535,                0.84256,                 0.5244,                 1.3272,                0.74861,                 1.1315,              0.0011981,              0.0011981,              0.0011981
                     84,                0.88824,                0.56973,                0.97643,                0.87794,                0.77833,                0.85563,                0.53222,                 1.3222,                0.75297,                 1.1155,              0.0011882,              0.0011882,              0.0011882
                     85,                0.90442,                0.57762,                0.98179,                 0.8332,                0.71921,                0.80579,                0.47855,                 1.3543,                0.78863,                 1.1176,              0.0011783,              0.0011783,              0.0011783
                     86,                0.80165,                0.55544,                0.97823,                0.87818,                0.74573,                0.85402,                0.52228,                 1.3021,                0.76007,                  1.103,              0.0011684,              0.0011684,              0.0011684
                     87,                0.85256,                 0.5744,                0.98842,                0.80529,                0.81495,                0.84863,                0.53426,                 1.3081,                0.74148,                 1.0912,              0.0011585,              0.0011585,              0.0011585
                     88,                0.84499,                0.54834,                0.97088,                0.92644,                0.71921,                0.82495,                 0.5034,                 1.3585,                0.78372,                 1.1103,              0.0011486,              0.0011486,              0.0011486
                     89,                0.79702,                0.53468,                0.98175,                0.89368,                0.75369,                0.85771,                0.53396,                 1.2721,                0.74364,                 1.0923,              0.0011387,              0.0011387,              0.0011387
                     90,                0.83736,                0.55055,                0.98797,                0.90187,                0.73399,                0.81857,                0.49578,                 1.3294,                0.77599,                 1.1016,              0.0011288,              0.0011288,              0.0011288
                     91,                0.87837,                0.56536,                0.99388,                0.89346,                0.70443,                0.81538,                0.52109,                 1.3473,                0.76567,                 1.1139,              0.0011189,              0.0011189,              0.0011189
                     92,                0.86423,                0.55941,                0.97855,                0.86962,                 0.7734,                0.85434,                0.53135,                 1.3128,                0.73914,                 1.1054,               0.001109,               0.001109,               0.001109
                     93,                0.84158,                0.54757,                0.97766,                0.88521,                0.75369,                0.84565,                0.52199,                 1.3068,                0.77796,                 1.1044,              0.0010991,              0.0010991,              0.0010991
                     94,                0.82906,                0.54044,                0.95173,                0.93577,                 0.7734,                0.87976,                0.54356,                 1.3088,                0.72515,                 1.0961,              0.0010892,              0.0010892,              0.0010892
                     95,                0.81677,                0.53467,                0.97123,                0.84679,                0.76233,                0.84165,                0.51685,                 1.3447,                0.76361,                 1.1482,              0.0010793,              0.0010793,              0.0010793
                     96,                0.77297,                0.51588,                0.97972,                0.87132,                0.72414,                0.81026,                0.49695,                 1.3959,                0.78203,                 1.1359,              0.0010694,              0.0010694,              0.0010694
                     97,                0.83779,                0.52922,                0.96812,                0.86173,                0.73684,                0.84281,                0.53404,                 1.2924,                0.71094,                 1.0887,              0.0010595,              0.0010595,              0.0010595
                     98,                0.78675,                0.53971,                0.98119,                0.93016,                0.72173,                0.85168,                0.52959,                 1.3138,                0.71032,                 1.1212,              0.0010496,              0.0010496,              0.0010496
                     99,                0.78106,                0.52581,                0.97923,                 0.9357,                0.72414,                0.84171,                0.53156,                  1.265,                0.75931,                 1.0998,              0.0010397,              0.0010397,              0.0010397
                    100,                0.80436,                0.53478,                 0.9681,                 0.9052,                0.72414,                0.84603,                0.52444,                 1.3067,                0.74312,                 1.1026,              0.0010298,              0.0010298,              0.0010298
                    101,                0.79793,                0.52992,                0.97859,                0.91004,                0.74753,                0.84456,                0.53172,                 1.2894,                0.70982,                  1.091,              0.0010199,              0.0010199,              0.0010199
                    102,                0.80769,                0.52741,                0.97139,                0.90785,                0.74877,                0.85126,                0.53518,                 1.2672,                0.70419,                 1.0868,                0.00101,                0.00101,                0.00101
